"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS","npz6.1","20210511_TOP_3_0003_0001.mp4","0.46991","Labridae","Choerodon","rubescens",1,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.1","20210511_TOP_3_0003_0001.mp4","1.48148","Labridae",NA,"spp",1,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.1","20210511_TOP_3_0003_0001.mp4","0.70904","Sparidae","Chrysophrys","auratus",1,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.1","20210511_TOP_3_0003_0001.mp4","0.03782","SUS","SUS","SUS",1,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","0.31587","Carangidae","Seriola","hippos",2,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","2.18329","Carangidae",NA,"sp10",1,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","2.18329","Echeneidae",NA,"spp",1,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","2.17773","Ginglymostomatidae","Nebrius","ferrugineus",1,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","0.43210","Glaucosomatidae","Glaucosoma","hebraicum",1,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","0.20965","Labridae","Choerodon","rubescens",2,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","2.58425","Labridae","Coris","auricularis",3,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","1.65165","Labridae","Coris","caudimacula",1,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11","20210511_TOP_2_0002_0001.mp4","1.38194","Lethrinidae","Lethrinus","miniatus",10,"-28.0761","113.4539","20210511","12:34:24","NPZ6","No-take","npz6.11","34","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.13","20210511_TOP_2_0003_0001.mp4","0.88144","Tetraodontidae",NA,"spp",1,"-28.0537","113.4489","20210511","12:50:37","NPZ6","No-take","npz6.13","57","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","2.42909","Labridae","Anampses","geographicus",1,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","2.57368","Labridae","Choerodon","rubescens",1,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","0.93371","Labridae","Coris","auricularis",20,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","0.94873","Labridae","Coris","caudimacula",1,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","1.04549","Labridae","Suezichthys","cyanolaemus",1,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","1.31353","Lethrinidae","Lethrinus","miniatus",15,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","2.13157","Mullidae","Parupeneus","spilurus",1,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14","20210511_TOP_1_0006_0001.mp4","0.13013","Pomacentridae","Chromis","spp",25,"-28.0912","113.4589","20210511","11:56:15","NPZ6","No-take","npz6.14","25.5","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.15","20210511_TOP_3_0001_0001.mp4","2.26170","SUS","SUS","SUS",1,"-28.0712","113.3788","20210511","14:33:06","NPZ6","No-take","npz6.15","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.17","20210511_TOP_2_0006_0001.mp4","2.26059","Lethrinidae","Lethrinus","nebulosus",1,"-28.0587","113.3939","20210511","13:45:12","NPZ6","No-take","npz6.17","65.7","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.61311","Chaetodontidae","Chaetodon","assarius",1,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.89200","Labridae","Anampses","geographicus",3,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","2.72216","Labridae","Choerodon","rubescens",2,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","1.68112","Labridae","Coris","auricularis",6,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.67679","Labridae","Suezichthys","cyanolaemus",1,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","2.66183","Labridae",NA,"spp",1,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.45017","Lethrinidae","Lethrinus","miniatus",1,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","1.68112","Mullidae","Parupeneus","spilurus",4,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","2.26587","Pempherididae","Pempheris","klunzingeri",2,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","1.43810","Pomacentridae","Chromis","spp",39,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.22912","Scaridae","Scarus","chameleon",2,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.26109","Scaridae","Scarus","sp3",2,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.18","20210513_TOP_2_0001_0001.mp4","0.61311","SUS","SUS","SUS",1,"-28.0837","113.5038","20210513","11:02:11","NPZ6","No-take","npz6.18","50","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","0.81137","Chaetodontidae","Chaetodon","assarius",4,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","2.15104","Labridae","Austrolabrus","maculatus",3,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","1.39473","Labridae","Choerodon","rubescens",2,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","1.60104","Labridae","Coris","auricularis",29,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","1.71505","Mullidae","Parupeneus","spilurus",1,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","0.64342","Nemipteridae","Pentapodus","nagasakiensis",3,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","0.56835","Pomacentridae","Chromis","spp",2,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19","20210511_TOP_1_0003_0001.mp4","2.15104","SUS","SUS","SUS",3,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.2","20210513_TOP_2_0008_0001.mp4","2.66516","Lutjanidae","Lutjanus","sp10",1,"-28.0862","113.3863","20210513","13:26:50","NPZ6","No-take","npz6.2","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.2","20210513_TOP_2_0008_0001.mp4","2.56145","Pomacanthidae","Apolemichthys","trimaculatus",1,"-28.0862","113.3863","20210513","13:26:50","NPZ6","No-take","npz6.2","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.2","20210513_TOP_2_0008_0001.mp4","0.25386","Scorpididae","Neatypus","obliquus",40,"-28.0862","113.3863","20210513","13:26:50","NPZ6","No-take","npz6.2","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.2","20210513_TOP_2_0008_0001.mp4","0.02864","Scorpididae","Scorpis","georgiana",1,"-28.0862","113.3863","20210513","13:26:50","NPZ6","No-take","npz6.2","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.2","20210513_TOP_2_0008_0001.mp4","0.22078","SUS","SUS","SUS",1,"-28.0862","113.3863","20210513","13:26:50","NPZ6","No-take","npz6.2","92","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.20","20210511_TOP_2_0004_0001.mp4","0.45879","Labridae","Suezichthys","cyanolaemus",1,"-28.0462","113.4413","20210511","13:09:55","NPZ6","No-take","npz6.20","51","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.20","20210511_TOP_2_0004_0001.mp4","0.59560","Pomacentridae","Chromis","spp",80,"-28.0462","113.4413","20210511","13:09:55","NPZ6","No-take","npz6.20","51","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.20","20210511_TOP_2_0004_0001.mp4","0.03504","Scaridae","Scarus","spp",1,"-28.0462","113.4413","20210511","13:09:55","NPZ6","No-take","npz6.20","51","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.20","20210511_TOP_2_0004_0001.mp4","2.32232","Serranidae","Pseudanthias","spp",17,"-28.0462","113.4413","20210511","13:09:55","NPZ6","No-take","npz6.20","51","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.21","20210511_TOP_2_0006_0001.mp4","1.44366","Chaetodontidae","Chaetodon","assarius",2,"-28.0737","113.4014","20210511","13:59:39","NPZ6","No-take","npz6.21","57.4","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.21","20210511_TOP_2_0006_0001.mp4","0.91480","Labridae","Coris","auricularis",9,"-28.0737","113.4014","20210511","13:59:39","NPZ6","No-take","npz6.21","57.4","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.21","20210511_TOP_2_0006_0001.mp4","0.53720","Pomacentridae","Chromis","spp",2,"-28.0737","113.4014","20210511","13:59:39","NPZ6","No-take","npz6.21","57.4","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","2.50723","Labridae","Suezichthys","cyanolaemus",1,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","1.01657","Labridae",NA,"sp3",1,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","1.86436","Mullidae","Parupeneus","chrysopleuron",1,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","2.33511","Nemipteridae","Pentapodus","nagasakiensis",2,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","1.95028","SUS","SUS","SUS",1,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.16628","Labridae",NA,"sp3",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.79301","Pinguipedidae","Parapercis","spp",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.45101","Sparidae","Chrysophrys","auratus",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.08509","SUS","SUS","SUS",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0003_0001.mp4","0.62618","Labridae","Anampses","geographicus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","0.99822","Labridae","Austrolabrus","maculatus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","2.98187","Labridae","Choerodon","rubescens",2,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.56935","Labridae","Coris","auricularis",20,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.56935","Labridae","Pseudojuloides","elongatus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.68835","Labridae","Suezichthys","cyanolaemus",2,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.11167","Lethrinidae","Lethrinus","miniatus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.20398","Mullidae","Parupeneus","spilurus",3,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","0.95540","Pomacentridae","Chromis","spp",25,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.28","20210513_TOP_2_0005_0001.mp4","1.10694","Labridae","Coris","auricularis",5,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.28","20210513_TOP_2_0005_0001.mp4","1.06634","Labridae","Suezichthys","cyanolaemus",1,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.29","20210511_TOP_2_0002_0001.mp4","2.06484","Labridae","Coris","auricularis",5,"-28.0837","113.4589","20210511","12:23:21","NPZ6","No-take","npz6.29","43.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.29","20210511_TOP_2_0002_0001.mp4","2.64208","Labridae",NA,"spp",1,"-28.0837","113.4589","20210511","12:23:21","NPZ6","No-take","npz6.29","43.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.3","20210513_TOP_2_0009_0001.mp4","0.44656","SUS","SUS","SUS",1,"-28.0914","113.3864","20210513","13:38:45","NPZ6","No-take","npz6.3","95.2","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.30","20210513_TOP_2_0007_0001.mp4","0.13208","SUS","SUS","SUS",1,"-28.0912","113.3989","20210513","13:12:16","NPZ6","No-take","npz6.30","87.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.31","20210511_TOP_2_0007_0001.mp4","0.44378","Pinguipedidae","Parapercis","spp",2,"-28.0711","113.3938","20210511","14:11:16","NPZ6","No-take","npz6.31","81.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.31","20210511_TOP_2_0007_0001.mp4","0.02113","SUS","SUS","SUS",1,"-28.0711","113.3938","20210511","14:11:16","NPZ6","No-take","npz6.31","81.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","2.81615","Labridae","Anampses","geographicus",3,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","2.50472","Labridae","Austrolabrus","maculatus",1,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","1.08664","Labridae","Coris","auricularis",17,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","2.22778","Labridae","Coris","caudimacula",1,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","1.60605","Labridae","Labroides","dimidiatus",1,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","1.28072","Labridae","Notolabrus","parilus",1,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","1.99922","Labridae","Suezichthys","cyanolaemus",1,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","1.85630","Lethrinidae","Lethrinus","miniatus",2,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33","20210511_TOP_2_0001_0001.mp4","0.53554","Mullidae","Parupeneus","spilurus",2,"-28.0887","113.4437","20210511","12:10:09","NPZ6","No-take","npz6.33","28","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","0.15460","Carangidae","Seriola","hippos",2,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","1.33133","Cirrhitidae","Paracirrhites","forsteri",2,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","1.54988","Labridae","Anampses","geographicus",1,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","2.53086","Labridae","Suezichthys","cyanolaemus",2,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","2.95073","Lethrinidae","Lethrinus","miniatus",1,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","2.72216","Mullidae","Parupeneus","spilurus",7,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","1.56100","Scaridae","Scarus","sp3",6,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.34","20210511_TOP_1_0002_0001.mp4","1.80402","Serranidae","Plectropomus","spp",1,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.36","20210511_TOP_1_0004_0001.mp4","1.15337","Tetraodontidae",NA,"spp",2,"-28.0765","113.4739","20210511","11:22:14","NPZ6","No-take","npz6.36","52.9","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.37","20210511_TOP_1_0005_0001.mp4","1.29073","Labridae","Coris","auricularis",2,"-28.0964","113.4639","20210511","11:46:02","NPZ6","No-take","npz6.37","39.2","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.37","20210511_TOP_1_0005_0001.mp4","0.91814","Labridae","Suezichthys","cyanolaemus",1,"-28.0964","113.4639","20210511","11:46:02","NPZ6","No-take","npz6.37","39.2","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.37","20210511_TOP_1_0005_0001.mp4","0.53275","Labridae",NA,"spp",2,"-28.0964","113.4639","20210511","11:46:02","NPZ6","No-take","npz6.37","39.2","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.38","20210513_TOP_2_0003_0001.mp4","1.46313","Labridae","Anampses","geographicus",1,"-28.1187","113.4591","20210513","11:49:00","NPZ6","Fished","out6.1","27.8","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.38","20210513_TOP_2_0003_0001.mp4","2.53197","Labridae","Choerodon","rubescens",2,"-28.1187","113.4591","20210513","11:49:00","NPZ6","Fished","out6.1","27.8","Claude","Y","Y"
