"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2021-05_Abrolhos_BOSS","npz6.43","Pomacentridae","Chromis","westaustralis",0,62,62,Inf
"2021-05_Abrolhos_BOSS","npz6.39","Pomacentridae","Chromis","westaustralis",0,43,43,Inf
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","westaustralis",0,39,39,Inf
"2021-05_Abrolhos_BOSS","npz6.26","Pomacentridae","Chromis","westaustralis",0,25,25,Inf
"2021-05_Abrolhos_BOSS","npz9.45","Pomacentridae","Chromis","westaustralis",0,25,25,Inf
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","auricularis",0,20,20,Inf
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","auricularis",0,17,17,Inf
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Coris","auricularis",0,17,17,Inf
"2021-05_Abrolhos_BOSS","npz6.5","Labridae","Coris","auricularis",0,13,13,Inf
"2021-05_Abrolhos_BOSS","npz6.43","Labridae","Coris","auricularis",0,11,11,Inf
"2021-05_Abrolhos_BOSS","npz6.21","Labridae","Coris","auricularis",0,9,9,Inf
"2021-05_Abrolhos_BOSS","npz6.40","Labridae","Coris","auricularis",0,9,9,Inf
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Coris","auricularis",0,6,6,Inf
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Coris","auricularis",0,5,5,Inf
"2021-05_Abrolhos_BOSS","npz6.29","Labridae","Coris","auricularis",0,5,5,Inf
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Coris","auricularis",0,5,5,Inf
"2021-05_Abrolhos_BOSS","npz9.47","Chaetodontidae","Chaetodon","assarius",0,4,4,Inf
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","auricularis",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.19","SUS","SUS","SUS",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.38","Mullidae","Parupeneus","spilurus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.39","Mullidae","Parupeneus","spilurus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.43","Labridae","Suezichthys","cyanolaemus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Suezichthys","cyanolaemus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz9.43","Lethrinidae","Lethrinus","miniatus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz9.49","Lethrinidae","Lethrinus","miniatus",0,3,3,Inf
"2021-05_Abrolhos_BOSS","npz6.19","Pomacentridae","Chromis","westaustralis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.21","Pomacentridae","Chromis","westaustralis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.24","Nemipteridae","Pentapodus","nagasakiensis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Choerodon","rubescens",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.33","Lethrinidae","Lethrinus","miniatus",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.33","Mullidae","Parupeneus","spilurus",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Suezichthys","cyanolaemus",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Coris","auricularis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Choerodon","rubescens",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Anampses","geographicus",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.43","Lethrinidae","Lethrinus","spp",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.46","Labridae","Choerodon","rubescens",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.47","Labridae","Coris","auricularis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.5","Nemipteridae","Pentapodus","nagasakiensis",0,2,2,Inf
"2021-05_Abrolhos_BOSS","npz6.1","Sparidae","Chrysophrys","auratus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.1","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","caudimacula",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Anampses","geographicus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Choerodon","rubescens",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.14","Mullidae","Parupeneus","spilurus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.15","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Suezichthys","cyanolaemus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.18","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.18","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.19","Mullidae","Parupeneus","spilurus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.2","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.20","Labridae","Suezichthys","cyanolaemus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.24","Mullidae","Parupeneus","chrysopleuron",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.24","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.25","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Anampses","geographicus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Austrolabrus","maculatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.26","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Suezichthys","cyanolaemus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.3","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.30","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.31","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Halichoeres","nigrescens",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.34","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Suezichthys","cyanolaemus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Anampses","geographicus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.38","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Choerodon","rubescens",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Suezichthys","cyanolaemus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.40","Labridae","Choerodon","rubescens",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.45","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.46","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.46","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.47","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Austrolabrus","maculatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.49","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.50","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.8","Chaetodontidae","Chaetodon","assarius",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.8","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.8","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz6.9","Pinguipedidae","Parapercis","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.1","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.17","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.17","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.19","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.23","Pinguipedidae","Parapercis","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.24","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.24","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.25","Pinguipedidae","Parapercis","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.4","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.42","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.47","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.48","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.6","Lethrinidae","Gymnocranius","spp",0,1,1,Inf
